DATE,avgTa,minTa,maxTa,sumSsHr,avgWs,sumRn,avgRhm
2021-01-01,-4.2,-9.8,1.6,6.5,2,0,64
2021-01-02,-5,-8.4,-1.4,9,2.6,0,38.5
2021-01-03,-5.6,-9.1,-2,5.5,2,0,45
2021-01-04,-3.5,-8.4,0.3,4.6,1.7,0,51.4
2021-01-05,-5.5,-9.9,-2.1,8.6,2.9,0,52.8
2021-01-06,-7.4,-12,-1.9,9.1,2.4,2.3,54.6
2021-01-07,-14.5,-16.5,-8.4,0,4.1,0,49.9
2021-01-08,-14.9,-18.6,-10.7,9.2,3.3,0,44
2021-01-09,-12.2,-16.6,-7.5,9,2.6,0,46.3
2021-01-10,-7.7,-12.8,-2.7,6.2,1.3,0,54.4
2021-01-11,-6.7,-9.6,-4,0,1.9,0,62.1
2021-01-12,-3.9,-9.3,-0.5,3.6,1.8,2.6,79.5
2021-01-13,2,-3,8.3,6.1,2.4,0,80.3
2021-01-14,1.7,-3.6,7,8,2.3,0,46.5
2021-01-15,4.5,-0.7,9.9,0,3,0.2,67.4
2021-01-16,-4.9,-8.7,-0.7,8.9,3.3,0,59.3
2021-01-17,-5.5,-10.8,-1.3,7,2.3,0,58.5
2021-01-18,-3.8,-9.1,0.2,2.5,3.2,0.3,64.3
2021-01-19,-6.3,-11.6,-0.2,9.2,1.8,0,37.9
2021-01-20,-0.1,-6.6,7.1,8.9,2.2,0,37.8
2021-01-21,4.5,2.5,7,0,2.3,9.2,64.4
2021-01-22,5.5,4.8,6.6,0,1.7,0.1,92.9
2021-01-23,7.6,4.8,12.2,5.3,4.2,0,66
2021-01-24,7.3,2.4,13.9,8.2,2.1,0,63.9
2021-01-25,7.9,3,13.9,7.6,1.9,0,62
2021-01-26,5.3,1.7,7.4,0,1.9,1.7,80.4
2021-01-27,1.7,-1.8,6.5,8.4,2.2,0,47.6
2021-01-28,-2.6,-9.7,1.4,2.3,4,2,52.3
2021-01-29,-8.8,-11.6,-4.9,9.6,3.5,0,40
2021-01-30,-1.6,-8.1,5.2,6.4,2.5,0.5,60
2021-01-31,3.2,-3.8,8.7,6.7,2,0,57
2021-02-01,5,-2.3,9.5,1.1,2.7,0.7,74.5
2021-02-02,-5.6,-8.2,-2.4,9.6,3.9,0,44.1
2021-02-03,-3.2,-9.4,1.4,6.6,2.2,3.4,64.6
2021-02-04,-3.6,-7.4,0.7,9.6,2.5,0.1,50.1
2021-02-05,1.4,-4.4,6.7,2.7,2.4,0,71.8
2021-02-06,6.8,4.3,9.5,0.1,2.2,0,80.4
2021-02-07,3.6,-2.6,7.7,6,2.9,0,67
2021-02-08,-3.1,-5.4,0.2,9.6,3.4,0,43.6
2021-02-09,-0.9,-6.1,4.7,9.7,2,0,51.9
2021-02-10,3.4,-1.5,7.2,0.7,2.1,0,75.1
2021-02-11,5.5,1.3,10.9,5.2,1.3,0,71.5
2021-02-12,6.5,0.6,14,9.2,1.7,0,60.6
2021-02-13,7.6,1,15.9,9.3,1.5,0,50.6
2021-02-14,9.5,6.4,13.8,1.7,1.7,0,47.6
2021-02-15,1.2,-5.2,8.2,4.3,4,1.4,65.1
2021-02-16,-5.1,-7,-1.3,2.8,3.2,1.5,57.9
2021-02-17,-8.3,-10.4,-5.2,9.8,5,0,44.1
2021-02-18,-5.8,-10.6,-0.4,9.9,3.1,0,44.9
2021-02-19,1.6,-7.1,8.9,8.9,2.9,0,66.9
2021-02-20,8.8,5.5,14.9,7.8,2.1,0,60.4
2021-02-21,10.8,4.7,17.4,9.7,2.8,0,66.6
2021-02-22,7.8,0.4,12.6,6.3,2.9,0,58.3
2021-02-23,0,-3.1,4.3,10,2.9,0,34
2021-02-24,2.9,-3,10.1,8.4,1.8,0,33
2021-02-25,4.2,0.7,8.2,0,1.4,0,35.1
2021-02-26,8.2,0.5,15.8,9.1,2.3,0,35
2021-02-27,9.5,4.3,16.2,10.3,3.4,0,48.6
2021-02-28,7.8,3.2,10.8,2.6,2.1,0,49
2021-03-01,4.7,0.5,9,0,3.5,67.5,91
2021-03-02,2.3,0.2,6.9,4.7,1.9,0.1,75.9
2021-03-03,4.4,-1.2,9.9,10.4,1.8,0,64.4
2021-03-04,7.2,2.5,13,1.9,1.9,0,62.4
2021-03-05,9,3,16.2,10.5,2.1,0,70.3
2021-03-06,6.6,3.2,11.6,3.6,3.3,0,69.5
2021-03-07,6.2,2.1,12.2,9.6,2.8,0,62.9
2021-03-08,7,1.5,13.9,10.8,1.8,0,60.3
2021-03-09,6.6,2.1,12.2,9.4,2.2,0,58.5
2021-03-10,8.8,1.7,17.1,10.2,1.8,0,61.8
2021-03-11,10.2,4.7,17.1,7.9,1.8,0,50.8
2021-03-12,10.5,7.2,14.9,0.1,2.2,0,57
2021-03-13,9.2,4.6,14.2,6,2.2,0,62.8
2021-03-14,9.1,4.9,14.7,8.2,2.2,0,71.4
2021-03-15,10.6,5.1,15.7,2.7,2.4,1.7,68.8
2021-03-16,8.4,4.9,13.1,10.6,3.2,1.3,52.5
2021-03-17,8.8,1.8,17.5,10.7,1.8,0,44.9
2021-03-18,11.7,5,18.4,8.1,1.8,0,50.1
2021-03-19,15.3,11.4,20.2,8.8,2.2,0,47.9
2021-03-20,9.9,7.4,14.7,0,2.2,5.1,74.6
2021-03-21,5.8,3.1,8.6,2.9,4,0.3,65.9
2021-03-22,6.2,1.1,11.1,11.1,3.2,0,55.3
2021-03-23,9.1,2.5,16.4,10.3,2.5,0,63.5
2021-03-24,10.8,5.7,16.9,7.9,2.4,0,61.5
2021-03-25,11.9,6.8,19,9.7,2.2,0,68.5
2021-03-26,12.6,4.8,20.6,7.3,1.4,0,58.4
2021-03-27,12.1,10.2,15,0,2.5,25.5,70.9
2021-03-28,9,7.7,13,0,3.3,9.2,95.8
2021-03-29,10.2,7.3,14.6,7.1,3.3,0.2,62.3
2021-03-30,10.8,4.1,18.2,11.1,2.2,0,47.3
2021-03-31,14.5,5.9,22.9,11.4,1.8,0,41
2021-04-01,17.7,12,24,10,3.5,0,33
2021-04-02,17.8,12.5,23,3.4,3.2,0,35.6
2021-04-03,14.9,10.9,18,0,3.1,56.2,80.8
2021-04-04,11.9,9,15.8,1.5,3.2,0.6,65.8
2021-04-05,11.9,5.4,19.3,12,2.4,0,47.9
2021-04-06,13.9,9.4,19.2,10.6,2.5,0,50.9
2021-04-07,14.1,8.1,20.4,11.9,2.5,0,47.5
2021-04-08,13,7.2,18,12.1,2.7,0,34
2021-04-09,13.6,7.6,19.6,11.9,2.7,0,39.3
2021-04-10,12.6,7.7,18.8,11.5,2.6,0,50
2021-04-11,15,7.5,21.8,10.6,1.7,0,45.4
2021-04-12,13.8,11.9,17.8,0,2.4,22,70.4
2021-04-13,10.4,5.7,13.5,2.9,3.7,8,74
2021-04-14,8.4,3.1,13.3,12.4,2.9,0,58.5
2021-04-15,11.6,6.3,18.3,11.1,2.1,0,62.3
2021-04-16,11.3,8.1,14.8,3.7,2.6,0.7,60
2021-04-17,9.6,6,14.6,3.5,2.6,0,56.6
2021-04-18,9.9,5.6,15.3,11.9,3.2,0,64.3
2021-04-19,12.2,5.8,19.4,12.1,2.4,0,65.3
2021-04-20,14.8,8.1,22,11,1.9,0,55.1
2021-04-21,19.1,10.3,28.2,11.1,1.8,0,43.1
2021-04-22,20.9,16.1,27.5,2.6,2.5,0,37.9
2021-04-23,19,17,21.7,0.3,3.2,0,41.4
2021-04-24,18.3,15.3,22.2,1.6,2.7,0,43
2021-04-25,18.2,12.6,24,11.5,2.7,0,50
2021-04-26,16.2,12.3,20.6,9.2,2.6,0,51.8
2021-04-27,15.4,12.5,20,0.5,2.3,1.7,62.4
2021-04-28,14.5,11.2,18.2,2.2,2.4,4.7,64.1
2021-04-29,14.6,10.9,20.1,4.4,2.3,3.9,54.1
2021-04-30,11.3,8.6,14.6,1.1,2.4,26.3,81.8
2021-05-01,10.2,8.5,15.3,1.2,2.7,8,80.8
2021-05-02,12.4,7.3,18.7,10.8,3.1,1.7,67.9
2021-05-03,14.1,8.4,20.3,11.6,2.1,0,56.4
2021-05-04,13.8,11.4,15.8,0,2.1,19.6,82.6
2021-05-05,13.9,10.3,18.4,11.5,3.5,0.1,64.4
2021-05-06,15.7,7.9,23.1,10.6,2.4,0,46.4
2021-05-07,14.4,10.7,17.2,5.9,3.4,8.8,60.3
2021-05-08,14.3,8.9,21,8.9,3.4,0,66.1
2021-05-09,15.7,10,21.8,13,3.5,0,51.3
2021-05-10,13.2,11.7,14.6,0,1.8,0,67.9
2021-05-11,18.5,9.4,25.7,13.2,2.7,0,48.9
2021-05-12,22,16.9,27.7,11,2.2,0,39.5
2021-05-13,22.9,16.6,29.6,12.8,1.9,0,54.4
2021-05-14,24.1,18,30.8,10.8,1.7,0,60.3
2021-05-15,22.1,20.8,26.2,0.5,1.7,15,79.5
2021-05-16,18.4,14.8,20.8,0,2.5,66.9,97.6
2021-05-17,15.3,14.2,16.7,0,1.6,3.1,93
2021-05-18,17.9,13.6,24.5,8.4,1.7,0,70.5
2021-05-19,19.9,12.4,26.6,13.2,1.8,0,52.3
2021-05-20,18.7,15.6,22.9,0,2.5,0.9,59.8
2021-05-21,16,14.2,18.2,0.9,1.7,6.9,86.5
2021-05-22,18.6,13.8,23.8,12.7,2.5,0.2,69.3
2021-05-23,19.5,14.3,25.1,6,1.7,0,64.4
2021-05-24,19.4,16.4,24.5,9.1,2.7,0,61
2021-05-25,15.3,11.9,19.3,6.4,3.2,8.3,72.3
2021-05-26,18,11.5,23,5.3,2.9,0,58.5
2021-05-27,15.8,13.9,18.7,0.5,2.8,8.9,83
2021-05-28,15.3,12.4,19.7,1.9,2.6,12.3,86
2021-05-29,15.4,12.8,19.1,3.9,2.2,0.3,79.8
2021-05-30,18.4,10.8,26.3,11.6,2.1,18.1,73
2021-05-31,19.9,16.5,23.8,2,1.8,4,78.9
2021-06-01,20.2,15.9,23.9,1.9,2.2,3.2,74.6
2021-06-02,23.2,16.6,29.7,11.9,2.1,0,64.4
2021-06-03,19.1,14.6,22.7,0.2,1.8,18.1,80.8
2021-06-04,18.5,13.3,23.6,10.9,2.9,0,69.4
2021-06-05,20.8,17,25.7,8.4,3.3,0,68.1
2021-06-06,23,18.4,28.2,8.3,2.2,0,69.6
2021-06-07,21.1,19.4,24,0.3,1.7,0,71.5
2021-06-08,23.6,18.8,29.5,7.1,1.7,0.1,69.6
2021-06-09,25.8,19.5,31.6,9.9,1.6,0,59.1
2021-06-10,24.9,20.5,29.8,1.3,2.2,6.1,68.5
2021-06-11,21.5,19.9,24.4,1.8,2.8,4.6,84.5
2021-06-12,24.2,18.2,30.2,9.1,1.8,0,74.6
2021-06-13,24.8,20.9,29.7,10.2,2,0,72.6
2021-06-14,24.8,18.9,30.2,8.3,2.1,0,68.8
2021-06-15,22.5,21.5,25.3,1.6,2.3,1.9,79.1
2021-06-16,24.3,20.3,28.9,11.5,3.6,0,59.9
2021-06-17,21.9,19.6,25,0.3,2.4,0,71.4
2021-06-18,20,19,21.4,0,2.5,6.3,92.1
2021-06-19,22.3,17.5,27.4,10.5,1.8,0,74
2021-06-20,22.9,17.6,29,10.7,2.8,0,73.3
2021-06-21,23.6,19.2,28.5,11.1,2.2,0,67
2021-06-22,22.8,19.7,28.6,6.8,2.1,0,67.9
2021-06-23,22.4,18.8,27.9,7.2,2.4,7.5,70.5
2021-06-24,23,18.5,28,5.7,1.9,0,71.1
2021-06-25,24.1,19.5,29.5,9.7,2,0,69
2021-06-26,22.8,19.9,26.7,2.3,1.8,4.5,78.5
2021-06-27,24.5,19.8,30.8,8.1,2,38.2,72.1
2021-06-28,23.7,21,29.2,2.2,1.9,0.1,76.4
2021-06-29,23.9,21.3,28.4,4.2,1.8,8,78.6
2021-06-30,24.3,21,28.8,4,1.3,6,77.9
2021-07-01,26.3,21.4,31,8.2,1.8,0,70.9
2021-07-02,27.1,23.6,31.8,7.4,2.3,0,64.1
2021-07-03,22.6,19.6,25.7,0.9,3.6,60,80
2021-07-04,21.4,19.8,23.1,0,2.3,21.4,96.8
2021-07-05,23.3,20.1,26.9,0.9,1.4,0,80.3
2021-07-06,25.3,21,30.1,4.3,1.6,0,73.4
2021-07-07,26.4,23.9,29.1,1.1,1.5,12.7,78.5
2021-07-08,26,23.8,29.8,2.9,2,2.9,81.6
2021-07-09,25.5,23.6,29.2,3.8,1.9,0,77.3
2021-07-10,25.9,23.1,29.2,4.2,2.4,0.5,80.4
2021-07-11,25.7,24.1,27.5,0.1,2.2,0.4,86.8
2021-07-12,28.1,23.8,32.5,4.9,1.6,0,75.1
2021-07-13,28.8,26.3,31.5,1.4,1.7,0,76.1
2021-07-14,29.7,26.1,33.5,7.1,2.2,0,71.4
2021-07-15,29.1,25.9,34.5,8.7,2.1,0,71.1
2021-07-16,28.8,24.2,35.2,10.5,2.2,0,68.4
2021-07-17,29.1,24.7,32.8,8.9,2.3,0,63.1
2021-07-18,29.6,25.7,34.1,8.4,2.1,0,62.5
2021-07-19,26.4,24,30.5,3.1,1.9,67.4,80.1
2021-07-20,27.9,23.6,31.8,3.4,1.5,0,75.8
2021-07-21,30.5,25.3,35.3,11.3,1.7,0,64
2021-07-22,31.2,26.5,35.9,11.4,2,0,59.8
2021-07-23,31.2,27.2,35.8,12.4,1.8,0,61.8
2021-07-24,31.7,26.9,36.5,12.3,1.7,0,57.4
2021-07-25,31.5,27.2,35.9,13,2,0,55.8
2021-07-26,31.2,27.4,35.4,13.2,2.4,0,54.9
2021-07-27,31.1,27.8,35.7,7.3,2.1,0,60.5
2021-07-28,30.4,27.1,34.7,6.5,1.9,0,67.4
2021-07-29,29.6,27,33.3,2.2,2,0,69.9
2021-07-30,30.5,25.8,35.4,7.7,2.1,0,63.1
2021-07-31,29.8,26.8,34.3,7.7,2.5,3,69.9
2021-08-01,27.1,25.1,28.8,0,1.3,21,81.8
2021-08-02,26.5,25,28.6,0.6,1.6,1.7,82.6
2021-08-03,28,24.1,31.4,4.3,1.8,0,76.9
2021-08-04,28.9,26.3,33.2,6.1,2,0,70.6
2021-08-05,29.4,25.6,33.7,8.9,2.1,0,68.1
2021-08-06,28.1,26,32.2,6.3,2.1,0,68.4
2021-08-07,28,23.4,32.3,11.3,2.1,0,65
2021-08-08,26.8,24.4,32.1,2,1.7,12.7,74.8
2021-08-09,28.3,23.3,33.6,8.6,2.3,0,62.4
2021-08-10,27.7,24.3,32.2,8.5,2.3,0,62.5
2021-08-11,27.4,24.1,31.6,5.3,2,0,70.3
2021-08-12,26.8,24,31.7,4.4,1.8,0,67.1
2021-08-13,26.6,23.4,30.1,1.7,2,0,70.4
2021-08-14,26.1,23.4,30.5,4.5,3,0,63.9
2021-08-15,26.9,21.7,32.4,10.2,2.3,0,59.6
2021-08-16,27.3,22.5,32.8,10.4,2.3,0,61.1
2021-08-17,25.9,21.9,31.3,5.8,2.4,9.3,65
2021-08-18,24.3,20.6,31,5.8,2.8,5.6,69.6
2021-08-19,26,21,31.5,8.6,2.6,0,57.1
2021-08-20,26.6,22.6,30.7,5.5,2.3,0,63.6
2021-08-21,23.8,21,25.5,1,2.7,62.8,88.1
2021-08-22,24.4,22.4,27,0.7,2.1,0,81.5
2021-08-23,22.4,21,24,0,2,7.4,89.3
2021-08-24,23.4,21.1,26.4,0,2.9,10.5,93.6
2021-08-25,25,23.5,27.3,0.7,1.8,0.3,85.5
2021-08-26,25.5,22.9,27.9,0.2,2.5,0.7,84.9
2021-08-27,22.4,20.4,25.5,0,1.3,0.9,83.5
2021-08-28,23.6,19.7,28.2,3.8,1.8,0,80.4
2021-08-29,23.7,21.9,26.3,1,1.6,0.9,82.6
2021-08-30,24.2,21.2,27.7,1.1,1.4,0,77.5
2021-08-31,20.5,18.1,23.1,0,2.3,77.4,93.3
2021-09-01,21.4,18.5,23.9,0,2.9,0.8,83.1
2021-09-02,23.5,20.7,26.7,1.4,2.1,0,70.3
2021-09-03,24.3,20.6,29.2,11.2,2.4,0,60.3
2021-09-04,23.2,18.5,28.6,9.3,2.7,0,57
2021-09-05,23.1,19.4,27.3,4.6,3.2,0,61.1
2021-09-06,22.3,18,26.4,2.4,3.2,12,70.1
2021-09-07,19.6,17.6,20.9,0,2.3,29.6,98.1
2021-09-08,22.2,19,26.9,7.1,1.7,1.6,81.3
2021-09-09,23.5,19.1,29.1,8,1.5,0,76.5
2021-09-10,23.6,19.5,28.9,6.4,1.9,0,76
2021-09-11,24,19.9,29.4,8.7,1.7,0,73.1
2021-09-12,24.2,19.2,29.8,10.2,1.8,0,64.6
2021-09-13,24.8,20.8,30.3,6.1,2.4,0,67.1
2021-09-14,24.6,20,29.5,10.3,2.6,0,63.3
2021-09-15,23.6,19.5,28.9,11.4,3.6,0,57.5
2021-09-16,22.9,18,27.3,9.1,2.6,0,61.1
2021-09-17,23.5,20.5,28.2,6.6,3,0,61.4
2021-09-18,23.9,18.9,29.8,8.8,1.6,0,65.1
2021-09-19,23.7,20.8,27.8,2.8,1.9,0,62.9
2021-09-20,23.7,19,28.4,10.3,2.7,0,63.6
2021-09-21,22,17.4,26.2,4.3,2.9,68.1,85.1
2021-09-22,20.2,16.8,24.3,6.5,2.7,4.5,79
2021-09-23,20.9,16.9,25.9,8,2.4,0,67.3
2021-09-24,21.8,16.7,26.9,9.9,2.2,0,67.5
2021-09-25,21.2,18.7,23.1,0,2.3,0,72.6
2021-09-26,22.6,18.4,27.3,8.3,2.3,0,63
2021-09-27,21.6,18.7,25,2.2,2.4,0,66
2021-09-28,21.5,19.6,24.4,0.7,2.2,1.3,75.1
2021-09-29,20.2,17.8,21.4,0,1.7,13.1,93.5
2021-09-30,20.3,16,25.9,7.4,1.5,0,83.9
2021-10-01,21.1,16.9,27.5,9.3,2.4,13.3,75.8
2021-10-02,20.7,16.4,26.6,8.1,1.6,0,77.1
2021-10-03,22.3,17.1,28.8,8.4,1.9,0,69.5
2021-10-04,22.9,19.2,25.6,0,2.9,3.6,81
2021-10-05,23.6,21.7,26.5,1.5,3.3,0,82.4
2021-10-06,18.8,17.9,21.7,1.2,2.8,6.4,91.5
2021-10-07,19.4,17.9,21.9,0,1.9,4.6,85.5
2021-10-08,18.8,17.5,20,0,1.7,3.5,91.3
2021-10-09,20.9,18.5,24.1,1.9,2.3,0.4,83.5
2021-10-10,19.9,14.9,24.3,0,2.2,14.2,89
2021-10-11,15.2,12.6,17.8,1.7,2.2,0.3,78.6
2021-10-12,17.9,15.8,21.3,3,3.3,0,67.1
2021-10-13,19.6,14.9,25.2,9,2.4,0,66.6
2021-10-14,19.7,17.4,23.9,6.1,2,0,73.6
2021-10-15,19,17,21.4,0.7,2.1,0,74.4
2021-10-16,10.7,4.2,18.1,1.5,3.4,0,47.5
2021-10-17,5.6,1.3,10.8,10.3,2.9,0,37.4
2021-10-18,9.6,2.8,16.1,4.3,2,5.6,60.4
2021-10-19,10.9,7.1,15,6.5,2.4,4.4,72.8
2021-10-20,9.5,4.6,15.8,10,1.7,0,64.9
2021-10-21,9.8,4.9,16.2,4,1.7,0,64.1
2021-10-22,10.8,5.2,17.2,10,1.8,0,58.4
2021-10-23,11.4,5.7,18.4,9.6,1.6,0,57.3
2021-10-24,11.4,6,18.1,9.9,1.7,0,63.1
2021-10-25,11.7,6.3,17.6,7,1.9,0,64.5
2021-10-26,13,7.7,19,8.6,1.7,0,74.5
2021-10-27,13.4,9.8,18.1,8.2,2.2,0,63.4
2021-10-28,12.7,7.1,20,9.7,1.4,0,54.6
2021-10-29,14.6,10.5,20.6,8.7,2,0,55.9
2021-10-30,13.8,11,18,1.6,1.6,0,62.4
2021-10-31,14.1,9.2,20.3,7.6,1.6,0.7,73.3
2021-11-01,12.9,10.3,16.9,6.3,1.9,0,77.3
2021-11-02,11.5,7.9,16.9,7.8,1.7,0,76.6
2021-11-03,12.1,7.6,17.1,8.5,1.5,0,71.1
2021-11-04,12.1,8.4,16.3,3.9,1.3,0,80.4
2021-11-05,13,7.8,20.2,9.2,1.5,0,68.5
2021-11-06,14.1,8.8,21.3,8.3,1.6,0,61.1
2021-11-07,15.3,9.7,21.3,6.8,2.1,0,57.5
2021-11-08,8.6,4.5,15.5,0.1,3.2,25.7,82.1
2021-11-09,4.9,3,6.5,0,2.4,2,80.3
2021-11-10,4.2,0.7,7.7,3.2,2.5,0.3,73.4
2021-11-11,5.3,2.1,9.7,6.3,2.9,0,60.6
2021-11-12,4.5,1.3,8.6,8.3,2.6,0,55.4
2021-11-13,7.3,0.5,13.4,5.4,1.5,0,66.1
2021-11-14,11.3,7.8,16.4,6.4,2.2,0,69.8
2021-11-15,10.1,5.8,15.7,7.9,1.6,0,71.3
2021-11-16,8.5,4.4,13.6,9,1.9,0,65.5
2021-11-17,7.5,2.7,12.5,7.3,1.6,0,64.1
2021-11-18,11.9,7.7,16.2,1.9,2.4,0,70.8
2021-11-19,12.9,10.2,16.7,0.9,1.9,0,84.8
2021-11-20,10.4,6.8,15.6,5.6,1.6,0,77
2021-11-21,10.4,7.6,13.1,0,1.9,5.9,74.4
2021-11-22,2.7,-0.6,7.5,5.4,4.1,1.3,61.8
2021-11-23,-0.6,-3.7,2.3,5.7,3.2,0,60.9
2021-11-24,4.1,-2.6,9.1,4.9,1.9,0,64.3
2021-11-25,5.7,2.6,9.9,7.9,2.2,0,55
2021-11-26,2.9,-0.5,7.2,4.7,2.2,0,57.5
2021-11-27,3.4,-1.4,10.1,9.2,1.6,0,53
2021-11-28,5.1,-1.3,12.4,8,1.5,0,52.4
2021-11-29,7.6,2.5,13.7,4.7,1.6,0,62
2021-11-30,5.7,0.7,8.9,0,3.7,27.2,80.4
2021-12-01,-1.3,-3,1.5,9.1,4.2,0,51.8
2021-12-02,1.3,-4.6,5,4.1,2.1,0.1,68.9
2021-12-03,1.9,-1.8,4.6,9.1,2.9,0.4,53.3
2021-12-04,1.4,-2.7,7,7.2,2,0,48.5
2021-12-05,2.9,-2.3,9.6,9.2,1.4,0,50.4
2021-12-06,5.4,-0.7,12.1,7.3,1.6,0,61.4
2021-12-07,6.8,2.6,13.3,8.3,1.2,0,68.3
2021-12-08,6.7,1.9,13.3,9.1,1.5,0,70
2021-12-09,6.5,2.7,9.7,1.4,2.2,0,70.3
2021-12-10,7,5.8,8.2,0,2.1,0.7,81.5
2021-12-11,6,4.4,9.8,3.5,1.4,0,83.6
2021-12-12,1.2,-3.8,5.1,8,3.2,0,61.8
2021-12-13,-2.2,-5.9,1.9,9.1,2.3,0,43.8
2021-12-14,3.7,-0.7,8.2,2.5,2,1.2,64.9
2021-12-15,7.2,5.4,10,0.9,1.7,2.1,84.8
2021-12-16,6.4,3.3,9.8,5,1.8,0,71.6
2021-12-17,-5.6,-10.1,3.2,8.7,4.6,0,50.5
2021-12-18,-5.7,-11.2,-1.8,4.3,2,2.8,64.1
2021-12-19,-0.8,-5.8,4.2,8.9,2,0.2,63.8
2021-12-20,5.2,-0.9,11.1,6.1,2.1,0,77.9
2021-12-21,5.2,0.8,8.9,6,2,0,70.9
2021-12-22,2.2,-2.6,8.2,8.9,1.7,0,47.4
2021-12-23,2.7,-1.5,8.3,6.9,1.4,0,53.5
2021-12-24,-0.3,-7.3,3.2,0,2.6,0.2,65.3
2021-12-25,-11.7,-14.4,-7.3,9.1,3.9,0,42.4
2021-12-26,-12.1,-15.5,-7.3,9.1,3.1,0,43.5
2021-12-27,-7.6,-12.9,-3.9,3.8,1.7,0,60.9
2021-12-28,-4.1,-8.5,-0.9,1.7,2.2,0,73.8
2021-12-29,0.4,-3.8,5.9,1.8,2.6,0.2,72.9
2021-12-30,-3.9,-6.8,0.2,7.3,3.3,0,48.5
2021-12-31,-6.7,-8.8,-3.9,9,3.5,0,35.9
